,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
382,393,AGZ0KJNGENZ1J,30-39,Female,No,4,White,1-10,none,1-10,
383,394,testID,20-29,Male,No,4,White,1-10,1-10,50+,Saudi Arabia
384,395,A1DYD3ENOZIIWN,20-29,Male,No,4,White,1-10,1-10,50+,japan
385,396,A1MXW5CZIN62BU,20-29,Female,No,4,White,1-10,none,1-10,
386,397,A1KHRQ121JTDF6,20-29,Female,No,4,Asian,10+,30+,50+,"hong kong, taiwan, china"
387,398,A2AR3VBIMNRRJJ,Under 20,Female,No,4,Asian,1-10,30+,50+,China
388,399,A3CGLZ155IHZ46,20-29,Female,No,4,White,1-10,1-10,none,united states
389,400,A34RYC7DY7OJM6,20-29,Female,No,4,Asian,1-10,30+,50+,"Korea, Philippines, China"
390,401,A2AR3VBIMNRRJJ,Under 20,Female,No,4,Asian,1-10,30+,50+,China
391,402,A22QAT6UTN9T51,30-39,Male,No,4,White,1-10,1-10,11-50,Thailand
392,403,A3BPX18U25K8HZ,20-29,Male,No,4,Natives,10+,1-10,11-50,
393,404,A3FAQHVPI8OUP0,60+,Male,No,4,White,1-10,none,11-50,
394,405,A2RR2BUAT4C3T7,60+,Female,No,4,White,1-10,none,1-10,
395,406,A1CWZUBZ7LAOA1,50-59,Female,No,4,White,none,none,1-10,
396,407,A13WYZ8AXD6ODX,40-49,Male,No,4,White,10+,none,50+,
397,408,A2SYXNDETRXR1H,40-49,Female,No,4,White,10+,none,1-10,
398,409,A3H1T1L00N0LO8,50-59,Female,No,4,White,none,none,1-10,
399,410,A3JPL5O4IH479O,30-39,Male,No,4,White,1-10,30+,50+,"Japan, Korea, Thailand, Phillipines, Iraq, Kuwait"
400,411,A1UTULP2IGAZWQ,40-49,Female,No,4,White,1-10,none,1-10,
401,412,A0467121226LDESR9HWNF,60+,Female,No,4,White,1-10,none,1-10,
402,413,A1WUUIFHTNQA9Y,50-59,Female,No,4,Black,1-10,none,1-10,none
403,414,A35UT5CBNL7FTD,40-49,Male,No,4,White,10+,30+,50+,"South Korea, Japan, Thailand, Malaysia, China and Taiwan."
404,415,A35UT5CBNL7FTD,40-49,Male,No,4,White,10+,30+,50+,"South Korea, Japan, China, Taiwan, Malaysia, Thailand"
